NAICS code,Industry,TRIR,DART,,,
23811,Poured concrete foundation and structure contractors,3.1,2,1.2,0.9,1.1
23812,Structural steel and precast concrete contractors,3.1,1.6,1,0.7,1.4
23813,Framing contractors,6.8,4.5,3.2,1.3,2.2
23814,Masonry contractors,3.6,1.9,1.4,0.5,1.7
23815,Glass and glazing contractors,2.7,1.5,1,0.4,1.2
23816,Roofing contractors,3.3,2,1.4,0.6,1.3
23817,Siding contractors,1.8,1.2,0.8,0,0.5
23819,"Other foundation, structure, and building exterior contractors",1.9,1.8,1.6,0.2,0
23821,Electrical contractors and other wiring installation contractors,2,1.3,0.9,0.4,0.7
23822,"Plumbing, heating, and air0conditioning contractors",3.3,1.9,1.4,0.5,1.4
23829,Other building equipment contractors,2,1.3,1,0.3,0.7
23831,Drywall and insulation contractors,3.6,2.6,1.8,0.8,1
23832,Painting and wall covering contractors,1.8,1.2,0.8,0.4,0.6
23833,Flooring contractors,2.3,1.5,0.6,1,0.7
23834,Tile and terrazzo contractors,0.9,0.5,0.5,0,0.3
23835,Finish carpentry contractors,3,2.1,1.8,0.4,0.9
23839,Other building finishing contractors,2.8,1.8,1.3,0.5,1
23891,Site preparation contractors,1.7,1.1,0.8,0.3,0.6
23899,All other specialty trade contractors,3.1,2,1.6,0.4,0
31033,Manufacturing,3.1,2,1.1,0.9,1.1
31111,Animal food manufacturing,3.1,2,1.1,0.9,1.1
31121,Flour milling and malt manufacturing,4.5,3.6,2,1.6,0.9
31122,Starch and vegetable fats and oils manufacturing,2.5,1.7,0.9,0.8,0.8
31123,Breakfast cereal manufacturing,3.2,2.4,1.7,0.7,0.8
31131,Sugar manufacturing,4.6,2.5,1.2,1.3,2
31134,Nonchocolate confectionery manufacturing,4.4,3.4,2.3,1.2,1
31135,Chocolate and confectionery manufacturing,2.8,2,0.7,1.2,0.8
31141,Frozen food manufacturing,5.1,3.8,2.4,1.4,1.3
31142,"Fruit and vegetable canning, pickling, and drying",4.3,2.9,1.5,1.4,1.4
31151,Dairy product (except frozen) manufacturing,4.5,3.2,1.8,1.4,1.3
31152,Ice cream and frozen dessert manufacturing,4.4,2.7,1.5,1.2,1.7
31161,Animal slaughtering and processing,6.7,5.7,3.9,1.8,1
31181,Bread and bakery product manufacturing,3.7,2.6,1.5,1.1,1.1
31182,"Cookie, cracker, and pasta manufacturing",3.3,2.5,1.2,1.3,0.8
31183,Tortilla manufacturing,5.4,4.5,3,1.5,1
31191,Snack food manufacturing,4.3,3,1.6,1.4,1.2
31194,Seasoning and dressing manufacturing,4.5,3.3,1.7,1.6,1.2
31199,All other food manufacturing,5.8,3.9,2.3,1.7,1.8
31211,Soft drink and ice manufacturing,5,3.8,1.7,2.2,1.1
31212,Breweries,2.1,1.2,0.6,0.6,1
31213,Wineries,3,2,1.1,0.9,1
31214,Distilleries,1.3,0.8,0.3,0.4,0.5
31321,Broadwoven fabric mills,4.2,2.9,1.9,1,1.3
31322,Narrow fabric mills and schiffli machine embroidery,2.2,1.2,0.6,0.6,1
31323,Nonwoven fabric mills,3.7,2.2,1.2,1,1.5
31324,Knit fabric mills,3.8,2.2,2,0,1.5
31331,Textile and fabric finishing mills,2.2,1.6,1,0.6,0.6
31332,Fabric coating mills,3.6,2.8,1.2,1.6,0.7
31411,Carpet and rug mills,4.3,2.7,1.1,1.7,1.5
31412,Curtain and linen mills,3.5,2.6,0.8,1.8,0.9
31491,Textile bag and canvas mills,3.6,2.3,1.3,0.9,1.3
31499,All other textile product mills,2.2,1.4,1.1,0.3,0.8
31519,Other apparel knitting mills,3.8,2,0,1.9,1.8
31521,Cut and sew apparel contractors,1,0.8,0.4,0.3,0.2
31522,Men's and boys' cut and sew apparel manufacturing,2.3,1.6,0.9,0.7,0.7
31528,Other cut and sew apparel manufacturing,3,1.5,1.2,0.3,1.4
31699,Other leather and allied product manufacturing,2.4,2,0,1.3,0.5
32111,Sawmills and wood preservation,4.8,3,1.7,1.3,1.8
32121,"Veneer, plywood, and engineered wood product manufacturing",3.7,2.3,1.3,1,1.4
32191,Millwork,4.6,2.8,1.7,1.1,1.8
32192,Wood container and pallet manufacturing,5.1,3.5,2.1,1.4,1.6
32199,All other wood product manufacturing,5.9,3.2,1.8,1.4,2.7
32211,Pulp mills,1.7,0.9,0.8,0,0.8
32212,Paper mills,2.2,1.4,1,0.4,0.7
32213,Paperboard mills,2.3,1.6,1.1,0.5,0.7
32221,Paperboard container manufacturing,2.3,1.5,0.7,0.8,0.7
32222,Paper bag and coated and treated paper manufacturing,2.7,1.9,1,0.9,0.8
32223,Stationery product manufacturing,3.6,1.8,1.1,0.7,1.8
32229,Other converted paper product manufacturing,2.8,2.1,1.2,0.9,0.7
32311,Printing,2,1.3,0.8,0.5,0.7
32312,Support activities for printing,2.4,1.2,0.6,0.5,1.3
32411,Petroleum refineries,0.5,0.3,0.3,0.1,0.1
32412,"Asphalt paving, roofing, and saturated materials manufacturing",0,0,0,0,0
32419,Other petroleum and coal products manufacturing,2.9,2.3,1.4,0.9,0.6
32513,Synthetic dye and pigment manufacturing,1.5,1,0.8,0.2,0.5
32518,Other basic inorganic chemical manufacturing,1.2,0.8,0.6,0.2,0.4
32519,Other basic organic chemical manufacturing,2.2,1.4,0.8,0.6,0.8
32521,Resin and synthetic rubber manufacturing,1.4,1,0.8,0.2,0.5
32522,Artificial and synthetic fibers and filaments manufacturing,1.9,1.2,0.8,0.4,0.7
32531,Fertilizer manufacturing,2.5,1.2,0.8,0.4,1.3
32532,Pesticide and other agricultural chemical manufacturing,1.5,0.8,0.3,0.5,0.7
32541,Pharmaceutical and medicine manufacturing,1.6,1.2,0.7,0.5,0.4
32551,Paint and coating manufacturing,1.6,1,0.7,0.3,0.6
32552,Adhesive manufacturing,2,1.4,0.7,0.7,0.6
32561,Soap and cleaning compound manufacturing,2.1,1.2,0.6,0.6,0.9
32562,Toilet preparation manufacturing,1.8,1.1,0.6,0.5,0.7
32599,All other chemical product and preparation manufacturing,2.8,2,1.2,0.8,0.8
32611,Plastics packaging materials and unlaminated film and sheet manufacturing,3,2,1.2,0.8,1
32612,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",3.7,2.5,1.5,1,1.2
32613,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",4.1,2.5,1.5,1,1.6
32614,Polystyrene foam product manufacturing,3.5,2.4,1,1.4,1.1
32615,Urethane and other foam product (except polystyrene) manufacturing,3,2.1,1,1.1,0.9
32616,Plastics bottle manufacturing,3,1.5,0.8,0.8,1.4
32619,Other plastics product manufacturing,3.7,2.3,1.2,1.2,1.4
32621,Tire manufacturing,3.4,2.4,1.1,1.3,1
32622,Rubber and plastics hoses and belting manufacturing,2.8,2.1,1.3,0.8,0.7
32629,Other rubber product manufacturing,3.3,2.5,1.3,1.2,0.8
32711,"Pottery, ceramics, and plumbing fixture manufacturing",1.7,1,0.7,0.3,0.7
32712,Clay building material and refractories manufacturing,3.7,2.9,1.7,1.2,0.8
32721,Glass and glass product manufacturing,2.9,1.8,0.9,0.9,1.1
32732,Ready0mix concrete manufacturing,3.9,2.8,1.7,1.2,1.1
32733,"Concrete pipe, brick, and block manufacturing",3.6,2.8,1.6,1.2,0.9
32739,Other concrete product manufacturing,4.6,3.2,1.4,1.9,1.4
32741,Lime manufacturing,1.6,0.9,0.3,0.5,0
32742,Gypsum product manufacturing,2.2,1.1,0.5,0.6,1.1
32799,All other nonmetallic mineral product manufacturing,3.3,2,1.1,0.9,1.4
33121,Iron and steel pipe and tube manufacturing from purchased steel,3.7,2.1,0.8,1.2,1.6
33122,Rolling and drawing of purchased steel,3.8,2.2,1.2,0.9,1.7
33131,Alumina and aluminum production and processing,2.8,1.8,0.9,0.9,1.1
33141,Nonferrous metal (except aluminum) smelting and refining,2.4,1.6,1.2,0.4,0.8
33142,"Copper rolling, drawing, extruding, and alloying",3.5,2.4,1.4,0.9,1.2
33149,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",3,2,1,1,1.1
33151,Ferrous metal foundries,6.5,3.8,1.6,2.2,2.7
33152,Nonferrous metal foundries,6.2,4.7,2.6,2.1,1.5
33211,Forging and stamping,4,2.3,1.1,1.2,1.6
33221,Cutlery and handtool manufacturing,5.6,2.5,1.1,1.4,3.1
33231,Plate work and fabricated structural product manufacturing,3.9,2.3,1.3,1,1.6
33232,Ornamental and architectural metal products manufacturing,5,2.7,1.3,1.4,2.3
33241,Power boiler and heat exchanger manufacturing,2.3,1.5,0.7,0.8,0.8
33242,Metal tank (heavy gauge) manufacturing,3.9,2.2,1.4,0.8,1.7
33243,"Metal can, box, and other metal container (light gauge) manufacturing",4.4,2.1,1.1,1,2.3
33261,Spring and wire product manufacturing,3,2,1.3,0.7,1
33271,Machine shops,3,1.7,1.3,0.4,1.3
33272,"Turned product and screw, nut, and bolt manufacturing",3.5,1.9,1.1,0.8,1.6
33281,"Coating, engraving, heat treating, and allied activities",3.6,2.5,1.3,1.2,1.1
33291,Metal valve manufacturing,2.1,1.2,0.6,0.6,0.9
33299,All other fabricated metal product manufacturing,3.1,1.8,1,0.8,1.3
33311,Agricultural implement manufacturing,4.6,2.8,1.4,1.4,1.8
33312,Construction machinery manufacturing,3.6,2.1,1,1,1.5
33313,Mining and oil and gas field machinery manufacturing,1.3,0.8,0.4,0.4,0.5
33324,Industrial machinery manufacturing,2.2,1.3,0.8,0.5,1
33331,Commercial and service industry machinery manufacturing,1.6,0.8,0.5,0.4,0.7
33341,"Ventilation, heating, air0conditioning, and commercial refrigeration equipment manufacturing",2.8,1.6,0.7,0.9,1.2
33351,Metalworking machinery manufacturing,2.7,1.4,0.8,0.6,1.3
33361,"Engine, turbine, and power transmission equipment manufacturing",1.8,1.1,0.5,0.6,0.8
33391,Pump and compressor manufacturing,1.8,1.1,0.7,0.4,0.7
33392,Material handling equipment manufacturing,2.9,1.6,0.9,0.7,1.3
33399,All other general purpose machinery manufacturing,2.7,1.6,1,0.6,1.1
33411,Computer and peripheral equipment manufacturing,0.4,0.2,0.1,0.1,0.2
33422,Radio and television broadcasting and wireless communications equipment manufacturing,1,0.6,0.3,0.3,0.4
33429,Other communications equipment manufacturing,0.9,0.6,0.6,0,0.2
33441,Semiconductor and other electronic component manufacturing,1,0.6,0.4,0.2,0.4
33451,"Navigational, measuring, electromedical, and control instruments manufacturing",0.8,0.5,0.3,0.2,0.3
33461,Manufacturing and reproducing magnetic and optical media,0.5,0.4,0,0.2,0
33512,Lighting fixture manufacturing,2,1.5,0.8,0.6,0.5
33521,Small electrical appliance manufacturing,1.2,0.9,0.4,0.5,0.3
33522,Major household appliance manufacturing,2.6,1.5,0.5,1,1.1
33531,Electrical equipment manufacturing,2.3,1.4,0.7,0.7,1
33591,Battery manufacturing,3.5,2.1,0.9,1.2,1.4
33592,Communication and energy wire and cable manufacturing,1.9,1,0.6,0.4,0.9
33593,Wiring device manufacturing,3.1,2.1,1.5,0.5,1
33599,All other electrical equipment and component manufacturing,1.4,0.9,0.4,0.5,0.6
33611,Automobile and light duty motor vehicle manufacturing,5.9,4.2,1.3,2.9,1.7
33612,Heavy duty truck manufacturing,4.8,3.3,1.8,1.5,1.5
33621,Motor vehicle body and trailer manufacturing,5.9,2.9,1.3,1.6,3
33631,Motor vehicle gasoline engine and engine parts manufacturing,3.5,2.1,0.9,1.2,1.4
33632,Motor vehicle electrical and electronic equipment manufacturing,2.4,1.6,0.8,0.8,0.8
33633,Motor vehicle steering and suspension components (except spring) manufacturing,2.7,1.8,0.7,1.1,0.9
33634,Motor vehicle brake system manufacturing,1.8,1,0.4,0.6,0.8
33635,Motor vehicle transmission and power train parts manufacturing,2.5,1.3,0.6,0.8,1.1
33636,Motor vehicle seating and interior trim manufacturing,3.2,2.2,0.8,1.4,1.1
33637,Motor vehicle metal stamping,4.2,2.1,0.8,1.3,2
33639,Other motor vehicle parts manufacturing,2.9,1.8,0.8,1,1.1
33641,Aerospace product and parts manufacturing,1.7,1.1,0.5,0.5,0.6
33661,Ship and boat building,5.3,3.6,2.2,1.4,1.6
33699,Other transportation equipment manufacturing,2.5,1.6,0.8,0.7,0.9
33711,Wood kitchen cabinet and countertop manufacturing,3.4,1.9,1.1,0.8,1.5
33712,Household and institutional furniture manufacturing,4.6,2.7,1.4,1.3,1.9
33721,Office furniture (including fixtures) manufacturing,3.5,2.2,1.1,1.1,1.3
33791,Mattress manufacturing,3.4,2.8,1.2,1.6,0.6
33792,Blind and shade manufacturing,2.4,1.8,0.8,1,0.6
33911,Medical equipment and supplies manufacturing,1.6,0.9,0.4,0.5,0.7
33991,Jewelry and silverware manufacturing,0.9,0.4,0.2,0.3,0.4
33992,Sporting and athletic goods manufacturing,2.3,1.3,0.6,0.7,0.9
33994,Office supplies (except paper) manufacturing,1.6,0.9,0.6,0.3,0.7
33995,Sign manufacturing,2.6,1.4,0.9,0.5,1.2
33999,All other miscellaneous manufacturing,2.8,1.8,1,0.8,0.9
42391,Sporting and recreational goods and supplies merchant wholesalers,1.7,1.3,0.8,0.5,0.4
42393,Recyclable material merchant wholesalers,4.1,2.2,1.3,0.8,1.9
42399,Other miscellaneous durable goods merchant wholesalers,1.3,1.1,0.8,0.3,0.3
44045,Retail trade,3.1,2,1.1,0.9,1.1
44111,New car dealers,2.8,1.5,1.2,0.4,1.3
44112,Used car dealers,1.6,0.8,0.5,0.3,0.8
44121,Recreational vehicle dealers,3.7,2.1,1,1.1,1.6
44122,"Motorcycle, boat, and other motor vehicle dealers",1.9,1.2,0.7,0.5,0.8
44131,Automotive parts and accessories stores,2.4,1.6,0.8,0.8,0.7
44132,Tire dealers,4.3,3,2,1,1.3
44221,Floor covering stores,2.1,1.2,0.8,0.3,1
44229,Other home furnishings stores,3.8,1.7,1.3,0.4,2.1
44314,Electronics and appliance stores,1.1,0.6,0.5,0.1,0.5
44411,Home centers,4.9,3.6,1.7,1.8,1.4
44412,Paint and wallpaper stores,2.1,1.9,0.7,1.2,0
44413,Hardware stores,2.6,2,1.4,0.7,0.6
44419,Other building material dealers,3.5,2.3,1.2,1.1,1.3
44421,Outdoor power equipment stores,1.4,1.1,0.8,0.3,0.3
44422,"Nursery, garden center, and farm supply stores",4.2,2.6,1.3,1.3,1.5
44511,Supermarkets and other grocery (except convenience) stores,4.6,3.3,1.9,1.3,1.3
44512,Convenience stores,1,0.4,0,0.1,0.6
44521,Meat markets,1,0.5,0.2,0.3,0.5
44523,Fruit and vegetable markets,1.9,1.4,1,0.3,0.6
44529,Other specialty food stores,1.1,0.9,0.6,0.4,0.2
44611,Pharmacies and drug stores,1.9,1.3,0.8,0.5,0.6
44612,"Cosmetics, beauty supplies, and perfume stores",2.3,1.1,0.5,0.6,1.2
44619,Other health and personal care stores,1.2,1,1,0,0.2
44711,Gasoline stations with convenience stores,1.9,1,0.7,0.3,0.9
44719,Other gasoline stations,2.4,1.2,0.7,0.6,1.1
44811,Men's clothing stores,1.6,1.6,1.6,0,0
44812,Women's clothing stores,1.3,0.9,0.7,0.2,0.4
44814,Family clothing stores,1.6,1,0.5,0.5,0.6
44819,Other clothing stores,1.4,0.8,0.3,0.5,0.5
44831,Jewelry stores,0.2,0,0,0,0
45111,Sporting goods stores,2.1,1.3,0.7,0.6,0.8
45112,"Hobby, toy, and game stores",3.5,1.9,0.8,1.1,1.6
45113,"Sewing, needlework, and piece goods stores",2,1.5,0.3,1.2,0.5
45121,Book stores and news dealers,1,0.7,0.4,0.2,0.3
45231,"General merchandise stores, including warehouse clubs and supercenters",4.8,3,1.4,1.6,1.8
45321,Office supplies and stationery stores,1.8,0.9,0.7,0.2,0.9
45322,"Gift, novelty, and souvenir stores",0.6,0.4,0.3,0.1,0.2
45391,Pet and pet supplies stores,7.1,3.8,1.9,1.9,3.4
45399,All other miscellaneous store retailers,1.2,0.8,0.7,0.1,0.4
45431,Fuel dealers,5.5,4.7,3.2,1.5,0.8
45439,Other direct selling establishments,1.9,1.3,0.8,0.5,0.6
48049,Transportation and warehousing,4,3,1.9,1.1,1
48111,Scheduled air transportation,4.5,3.6,2.6,1,0.9
48321,Inland water transportation,0,0,0,0,0
48411,"General freight trucking, local",2.9,2.3,1.6,0.6,0.7
48412,"General freight trucking, long0distance",3.3,2.5,1.8,0.6,0.9
48421,Used household and office goods moving,4.7,3.3,2.2,1.1,1.4
48422,"Specialized freight (except used goods) trucking, local",2.1,1.5,1.2,0.3,0.6
48423,"Specialized freight (except used goods) trucking, long0distance",2.8,1.8,1.5,0.4,1
48531,Taxi service,1.6,1.2,1.1,0,0
48532,Limousine service,2,1.7,1.6,0,0.3
48691,Pipeline transportation of refined petroleum products,1.9,1.8,1.8,0,0
48833,Navigational services to shipping,1.5,1.4,1.3,0,0.2
48839,Other support activities for water transportation,1.9,1.6,1.6,0,0.3
48849,Other support activities for road transportation,3.4,1.4,0.8,0.6,2
49311,General warehousing and storage,5,4,2.1,1.9,0.9
49312,Refrigerated warehousing and storage,5.5,4.1,2.1,2,1.4
49313,Farm product warehousing and storage,2,1.3,1,0.3,0.7
49319,Other warehousing and storage,1.9,1.5,0.9,0.5,0.4
51111,Newspaper publishers,1,0.6,0.4,0.2,0.4
51112,Periodical publishers,0,0,0,0,0
51114,Directory and mailing list publishers,0.9,0.7,0.7,0,0.2
51119,Other publishers,0.8,0.5,0.2,0.2,0.3
51212,Motion picture and video distribution,0,0,0,0,0
51213,Motion picture and video exhibition,4.4,1.8,1.8,0,2.6
51223,Music publishers,0,0,0,0,0
51511,Radio broadcasting,0.2,0.1,0,0.1,0
51512,Television broadcasting,0.8,0.4,0.2,0.1,0.4
51731,Wired and wireless telecommunications carriers,1.8,1.4,1.2,0.3,0.4
51912,Libraries and archives,0.6,0.2,0.2,0,0.3
52213,Credit unions,0.9,0.4,0.4,0,0.5
52221,Credit card issuing,0.1,0,0,0,0
52229,Other nondepository credit intermediation,0.2,0.1,0,0,0.1
52232,"Financial transactions processing, reserve, and clearinghouse activities",0.3,0.1,0.1,0,0.1
52392,Portfolio management,0,0,0,0,0
52393,Investment advice,0,0,0,0,0
52399,All other financial investment activities,0.5,0.1,0.1,0,0.5
52411,"Direct life, health, and medical insurance carriers",0.2,0.1,0.1,0,0.1
52412,"Direct insurance (except life, health, and medical) carriers",0.3,0.1,0.1,0,0.2
52421,Insurance agencies and brokerages,0,0.1,0.1,0,0.1
52429,Other insurance related activities,0.3,0.2,0.2,0,0.1
53111,Lessors of residential buildings and dwellings,2.9,2.1,1.4,0,0.7
53112,Lessors of nonresidential buildings (except miniwarehouses),0.6,0.5,0.4,0,0.1
53119,Lessors of other real estate property,1.2,0.5,0.4,0,0.8
53131,Real estate property managers,2.8,1.7,1.2,0,1.1
53132,Offices of real estate appraisers,0.3,0.2,0.2,0,0.1
53211,Passenger car rental and leasing,3.3,1.4,1.1,0.3,1.9
53212,"Truck, utility trailer, and RV (recreational vehicle) rental and leasing",3.9,2.4,1.4,1,1.5
53228,Other consumer goods rental,0,2.2,1.2,1,0
53241,"Construction, transportation, mining, and forestry machinery and equipment rental and leasing",0.8,0.6,0.4,0.2,0.3
53249,Other commercial and industrial machinery and equipment rental and leasing,2.7,0.8,0.4,0.4,1.9
54121,"Accounting, tax preparation, bookkeeping, and payroll services",0,0.2,0.2,0,0.1
54131,Architectural services,0.4,0.2,0.2,0,0
54132,Landscape architectural services,0.9,0.7,0.7,0,0.2
54133,Engineering services,0.6,0.3,0.2,0.1,0.3
54137,Surveying and mapping (except geophysical) services,0.7,0.4,0.4,0,0
54138,Testing laboratories,0.6,0.3,0.1,0.2,0.3
54151,Computer systems design and related services,0.1,0.1,0,0,0
54161,Management consulting services,0,0.2,0.2,0.1,0.1
54169,Other scientific and technical consulting services,1.1,0.9,0.5,0,0.3
54191,Marketing research and public opinion polling,0.1,0,0,0,0
54194,Veterinary services,8.8,1.6,0.9,0.7,7.2
54199,"All other professional, scientific, and technical services",0.6,0.4,0.3,0.1,0
56131,Employment placement agencies and executive search services,1.1,0.3,0.2,0,0.8
56132,Temporary help services,1.2,0.9,0.3,0.5,0.4
56133,Professional employer organizations,2.5,1.6,1.5,0.1,0.9
56141,Document preparation services,0,0,0,0,0
56142,Telephone call centers,0.3,0.1,0.1,0,0.2
56143,Business service centers,2.2,1.7,0.9,0.8,0.5
56149,Other business support services,1.7,1.2,0.8,0.4,0.5
56151,Travel agencies,0.2,0.1,0,0,0.1
56159,Other travel arrangement and reservation services,0.6,0.4,0.4,0,0.2
56161,"Investigation, guard, and armored car services",1.4,0.8,0.6,0.2,0.6
56162,Security systems services,1.2,0.7,0.4,0.4,0.4
56172,Janitorial services,2.8,1.7,1.3,0.4,1.1
56173,Landscaping services,3,2,1.3,0.7,1
56174,Carpet and upholstery cleaning services,5.4,3.6,2.8,0.8,1.8
56179,Other services to buildings and dwellings,2.4,1.2,1.1,0,1.2
56211,Waste collection,4.7,3.4,2.2,1.2,1.3
56221,Waste treatment and disposal,2.8,2,1.1,0.9,0.8
56291,Remediation services,1.5,1,0.7,0.3,0.5
56292,Materials recovery facilities,5.1,3,0,0,2
56299,All other waste management services,3.1,2.3,1.9,0.4,0.7
61143,Professional and management development training,0,0.1,0.1,0,0
61162,Sports and recreation instruction,0.9,0.6,0.6,0,0.3
61169,All other schools and instruction,0.6,0.3,0.2,0,0.3
62111,Offices of physicians,2.1,0.9,0.8,0.1,1.2
62191,Ambulance services,8.5,5.7,4.5,1.1,2.8
62199,All other ambulatory health care services,4.6,2.8,1.8,1,1.8
62411,Child and youth services,1.7,0.8,0.5,0.3,0.9
62412,Services for the elderly and persons with disabilities,2.3,1.4,1.2,0.2,0.9
62419,Other individual and family services,2,1.2,1,0.2,0.9
62421,Community food services,4.6,2.1,1.4,0.7,2.5
62422,Community housing services,3.8,2.4,2.1,0.3,1.5
62423,Emergency and other relief services,2.9,0.3,0.3,0,2.6
71121,Spectator sports,9.2,4.8,2.2,2.6,0
71311,Amusement and theme parks,4.8,3.3,1.3,2.1,1.5
71391,Golf courses and country clubs,3,1.7,1.2,0.5,1.3
71392,Skiing facilities,10,6.6,3.4,3.2,3.4
71393,Marinas,2.4,0.9,0.7,0,1.6
71394,Fitness and recreational sports centers,1.9,1,0.9,0.1,0.9
71399,All other amusement and recreation industries,1.6,0.8,0.8,0,0.8
72111,Hotels (except casino hotels) and motels,3.3,1.9,1.2,0.7,1.4
72112,Casino hotels,3.2,1.9,1,0.9,1.3
72121,RV (recreational vehicle) parks and recreational camps,3.3,1.4,1,0.4,1.9
72251,Restaurants and other eating places,2.6,1.1,0.8,0.3,1.5
81232,Drycleaning and laundry services (except coin0operated),1.8,1.3,1,0.4,0.5
81233,Linen and uniform supply,5,3.6,2.1,1.5,1.4
92214,Correctional institutions,9.2,6.4,6,0.4,2.8
115112,"Soil preparation, planting, and cultivating",2.6,1.9,1,0.9,0.7
115114,Postharvest crop activities (except cotton ginning),5.1,3.5,1.7,1.8,1.6
115115,Farm labor contractors and crew leaders,4.6,3,1.9,1.1,1.6
212111,Bituminous coal and lignite surface mining,1.3,0.9,0.8,0,0.5
212112,Bituminous coal underground mining,4.4,3.2,3.1,0.2,1.1
212113,Anthracite mining,4.8,4.6,4.1,0,0
212221,Gold ore mining,1.2,0.7,0.4,0.3,0.4
212222,Silver ore mining,2.5,1.6,1.3,0,0
212291,Uranium0radium0vanadium ore mining,0,0,0,0,0
212299,All other metal ore mining,3.1,2.3,1.8,0,0.8
212311,Dimension stone mining and quarrying,1.8,1.5,1,0.5,0.3
212312,Crushed and broken limestone mining and quarrying,1.6,1.1,0.7,0.5,0.5
212313,Crushed and broken granite mining and quarrying,1.3,0.9,0.4,0.5,0.3
212319,Other crushed and broken stone mining and quarrying,1.9,1.3,0.9,0.5,0.6
212321,Construction sand and gravel mining,1.5,1,0.6,0.4,0.5
212324,Kaolin and ball clay mining,0.9,0.8,0.5,0,0
212325,Clay and ceramic and refractory minerals mining,3.1,2.1,0.9,1.3,1
212391,"Potash, soda, and borate mineral mining",1,0.8,0.5,0,0
212392,Phosphate rock mining,1.6,1.1,0.8,0,0
212393,Other chemical and fertilizer mineral mining,2.3,1.6,1.2,0,0.7
212399,All other nonmetallic mineral mining,2.2,1.6,1,0.6,0.6
213112,Support activities for oil and gas operations,0.7,0.5,0.5,0.1,0.2
221112,Fossil fuel electric power generation,1.5,0.9,0.6,0.3,0.5
221113,Nuclear electric power generation,0.3,0.2,0.1,0,0.1
221117,Biomass electric power generation,0,0,0,0,0
311111,Dog and cat food manufacturing,3,2,1,1,1
311119,Other animal food manufacturing,3.2,2.1,1.2,0.9,1.2
311211,Flour milling,3.4,2.8,1.1,1.7,0.6
311213,Malt manufacturing,3.7,3,1.3,1.7,0
311221,Wet corn milling,0.9,0.5,0.2,0.3,0.4
311224,Soybean and other oilseed processing,4.4,3.1,1.7,1.5,1.3
311225,Fats and oils refining and blending,3,2.2,1.2,1.1,0.8
311313,Beet sugar manufacturing,5.4,2.3,1.3,1,3.1
311314,Cane sugar manufacturing,3.8,2.7,1.2,1.6,1.1
311352,Confectionery manufacturing from purchased chocolate,2.9,2,0.7,1.3,0.9
311411,"Frozen fruit, juice, and vegetable manufacturing",5.2,3.3,1.8,1.6,1.8
311412,Frozen specialty food manufacturing,5,4,2.7,1.3,1.1
311421,Fruit and vegetable canning,4.5,3.1,1.5,1.6,1.4
311422,Specialty canning,2.9,1.9,1.2,0.7,1.1
311511,Fluid milk manufacturing,4.5,3.2,1.9,1.3,1.3
311512,Creamery butter manufacturing,6.2,4.3,2,2.3,1.9
311513,Cheese manufacturing,5,3.6,2,1.6,1.4
311514,"Dry, condensed, and evaporated dairy product manufacturing",2.9,2.2,1.2,0.9,0.7
311611,Animal (except poultry) slaughtering,7.4,6.3,3.7,2.6,1.2
311612,Meat processed from carcasses,7.3,6.3,4.5,1.9,1
311613,Rendering and meat byproduct processing,7,5.9,2.6,3.3,1.1
311615,Poultry processing,5.9,4.9,3.7,1.2,0.9
311811,Retail bakeries,2.1,1.3,0.8,0.5,0.9
311812,Commercial bakeries,4.2,2.9,1.8,1.2,1.3
311813,"Frozen cakes, pies, and other pastries manufacturing",6,5.3,2,3.3,0.7
311821,Cookie and cracker manufacturing,2.8,2,0.8,1.2,0.9
311824,"Dry pasta, dough, and flour mixes manufacturing from purchased flour",4.1,3.4,2,1.5,0.6
311911,Roasted nuts and peanut butter manufacturing,3.5,2,1.1,0.9,1.5
311919,Other snack food manufacturing,4.5,3.5,1.8,1.6,1.1
311941,"Mayonnaise, dressing, and other prepared sauce manufacturing",4.6,3.4,2.1,1.3,1.2
311942,Spice and extract manufacturing,4.4,3.3,1.3,1.9,1.1
311991,Perishable prepared food manufacturing,7.2,4.8,3,1.8,2.4
311999,All other miscellaneous food manufacturing,3.5,2.6,1.1,1.5,0.9
312111,Soft drink manufacturing,5.3,4.1,1.8,2.3,1.2
312112,Bottled water manufacturing,3.8,3.3,1.4,1.9,0.5
312113,Ice manufacturing,4.4,2.5,1.2,1.3,2
314994,"Rope, cordage, twine, tire cord, and tire fabric mills",2.4,1,0.6,0.4,1.4
314999,All other miscellaneous textile product mills,2.1,1.5,1.2,0.3,0.6
316998,All other leather good and allied product manufacturing,2.5,2,0,1.3,0.4
321113,Sawmills,5.1,3.1,1.8,1.4,1.9
321114,Wood preservation,2.9,2.1,1.1,1.1,0.8
321211,Hardwood veneer and plywood manufacturing,3.8,2.3,1.1,1.1,1.5
321212,Softwood veneer and plywood manufacturing,3.1,2.2,1.4,0.7,0.9
321213,Engineered wood member (except truss) manufacturing,4.7,3.2,1.2,2,1.5
321214,Truss manufacturing,4.3,2.7,1.7,1,1.6
321219,Reconstituted wood product manufacturing,2.6,1.4,0.7,0.8,1.2
321911,Wood window and door manufacturing,3.9,2.3,1.3,1,1.6
